FID,WELL_CLASS,TD,PB,NOX,lat,long
"3,066",G,"13,659.000000000000000","13,617.000000000000000",655.302532158100350,42.587365234000004,-109.718878409000000
"3,067",G,"13,444.000000000000000","13,426.000000000000000",653.733283297993470,42.588585224600003,-109.719118442000000
"3,068",G,"13,363.000000000000000","13,336.000000000000000",654.514932149445490,42.587995228600001,-109.719048427999990
"3,069",G,"13,513.000000000000000","13,492.000000000000000",655.325231418654770,42.587345234899999,-109.718868408000010
"3,070",G,"13,410.000000000000000","13,386.000000000000000",654.473372270893040,42.588025229000003,-109.719048427999990
"3,071",G,"13,665.000000000000000","13,640.000000000000000",654.464558466542830,42.588035228300001,-109.719058429000000
"3,072",G,"14,130.000000000000000","14,102.000000000000000",554.289219472464540,42.712633578899997,-109.824304756000000
"3,073",G,"13,494.000000000000000","13,486.000000000000000",660.088973623464200,42.588305103400003,-109.730948830000000
"3,074",G,"13,370.000000000000000","13,631.000000000000000",571.616222123747090,42.682994003099999,-109.793423043000000
"3,075",G,"9,958.000000000000000","9,856.000000000000000",984.287936965216660,42.399446462800000,-109.767286781000000
"3,076",G,"10,150.000000000000000","10,102.000000000000000",979.803336411951020,42.402646402099997,-109.770056963000000
"3,077",G,"9,975.000000000000000","9,905.000000000000000",981.845580483682280,42.401006437900001,-109.768146845999990
"3,078",G,"9,950.000000000000000","9,844.000000000000000",983.154887619063060,42.399476480300002,-109.765196682000000
"3,079",G,"10,161.000000000000000","10,020.000000000000000",976.893680756998260,42.402756446200002,-109.764806718000000
"3,080",G,"10,240.000000000000000","10,180.000000000000000",985.718313717999990,42.399526435200002,-109.770346925000000
"3,081",G,"10,142.000000000000000","10,228.000000000000000",983.460536908353330,42.401316397199999,-109.772387051000000
"3,082",G,"10,190.000000000000000","10,117.000000000000000",983.563488838224200,42.400406433999997,-109.769326892000000
"3,083",G,"11,467.000000000000000","11,395.000000000000000",893.055679447430180,42.431576715100000,-109.702664992000000
"3,084",G,"11,810.000000000000000","11,742.000000000000000",881.662695063076400,42.433376856899997,-109.686434499000000
"3,085",G,"13,784.000000000000000","13,742.000000000000000",591.878197535174310,42.670304001200002,-109.804043212000000
"3,086",G,"13,557.000000000000000","13,399.000000000000000",591.893546503480140,42.670304001100000,-109.804073213000000
"3,087",G,"13,153.000000000000000","13,138.000000000000000",607.453070476411770,42.670303772600001,-109.834374381000000
"3,088",G,"13,236.000000000000000","13,198.000000000000000",591.924244803258260,42.670304000800002,-109.804133216000000
"3,089",G,"13,441.000000000000000","13,401.000000000000000",591.908895592838230,42.670304000900003,-109.804103215000000
"3,090",G,"11,633.000000000000000","11,539.000000000000000",829.271383106943180,42.466736349100003,-109.696615359000010
"3,091",G,"11,367.000000000000000","11,335.000000000000000",830.782156838092190,42.466046351000003,-109.697305370000000
"3,092",G,"11,588.000000000000000","11,556.000000000000000",829.067693962838230,42.466776351199996,-109.696345351000010
"3,093",G,"10,633.000000000000000","10,610.000000000000000",875.344515089592960,42.456995901900001,-109.754707147999990
"3,094",G,"13,668.000000000000000","13,665.000000000000000",674.886261487898200,42.570835403700002,-109.711577830000000
"3,095",G,"9,960.000000000000000","9,909.000000000000000",988.083282355196840,42.397716472500001,-109.768426805999990
"3,096",G,"10,894.000000000000000",0.000000000000000,875.310324776654510,42.457015901900000,-109.754707147999990
"3,097",G,"10,827.000000000000000","10,793.000000000000000",875.781049182578730,42.458685833799997,-109.761187469000010
"3,098",G,"10,745.000000000000000","10,701.000000000000000",875.832217403197430,42.458655833700000,-109.761187468000000
"3,099",G,"10,178.000000000000000","10,016.000000000000000",950.010319975378020,42.417506276600001,-109.764886963000000
"3,100",G,"11,801.000000000000000","11,737.000000000000000",858.225702987778620,42.450286530699998,-109.698445155000000
"3,101",G,"11,730.000000000000000","11,666.000000000000000",858.212598894587930,42.450276531800000,-109.698385153000000
"3,102",G,"10,285.000000000000000","10,194.000000000000000",928.466847085895780,42.430696093500003,-109.768927365000000
"3,103",G,"11,762.000000000000000","11,600.000000000000000",881.695466532704590,42.433346857700002,-109.686394496999990
"3,104",G,"14,300.000000000000000",0.000000000000000,642.410332281994220,42.600525051399998,-109.729089016000000
"3,105",G,"9,904.000000000000000","9,840.000000000000000",990.027723778318660,42.397636442500001,-109.771906968000000
"3,106",G,"13,450.000000000000000","13,449.000000000000000",649.202668545824740,42.589765278199998,-109.713358275000000
"3,107",G,"13,450.000000000000000","13,449.000000000000000",649.240445613833800,42.589785276900002,-109.713488280000010
"3,108",G,"13,450.000000000000000","13,422.000000000000000",649.170024104754590,42.589785278000001,-109.713348275000000
"3,109",G,"13,600.000000000000000","13,576.000000000000000",492.358425773044980,42.808073100300000,-109.882788447000000
"3,110",G,"13,729.000000000000000","13,703.000000000000000",492.323650768582750,42.808053101500001,-109.882688443000010
"3,111",G,"13,710.000000000000000","13,645.000000000000000",492.341037618229850,42.808063101400002,-109.882738445000000
"3,112",G,"14,030.000000000000000","14,013.000000000000000",476.424763775522990,42.829553146599999,-109.886088900999990
"3,113",G,"13,900.000000000000000","13,883.000000000000000",476.461343546452610,42.829533145799999,-109.886128902000000
"3,114",G,"13,680.000000000000000","13,754.000000000000000",646.963071576274730,42.588985351399998,-109.706758040000000
"3,115",G,"13,800.000000000000000","13,676.000000000000000",647.045657068998140,42.588515365900001,-109.705627992000000
"3,116",G,"13,773.000000000000000","13,754.000000000000000",646.876398476558510,42.589015352200001,-109.706668037000000
"3,117",G,"13,300.000000000000000","13,249.000000000000000",643.688772445045290,42.616974548199998,-109.774921045000000
"3,118",G,"13,113.000000000000000","13,073.000000000000000",644.525748032984210,42.616404550399999,-109.775091041000000
