,,
,,
Latitude,Longitude,thickness (m)
71.5196354,-156.5063257,0.647
71.5196624,-156.5063617,0.582
71.5196894,-156.5063978,0.569
71.5197165,-156.5064340,0.596
71.5197436,-156.5064704,0.643
71.5197707,-156.5065068,0.693
71.5197978,-156.5065433,0.728
71.5198250,-156.5065800,0.743
71.5198522,-156.5066168,0.745
71.5198794,-156.5066536,0.735
71.5199066,-156.5066906,0.709
71.5199338,-156.5067277,0.667
71.5199611,-156.5067649,0.608
71.5199884,-156.5068022,0.537
71.5200157,-156.5068395,0.456
71.5200430,-156.5068770,0.372
71.5200704,-156.5069145,0.298
71.5200978,-156.5069521,0.245
71.5201252,-156.5069898,0.210
71.5201526,-156.5070275,0.186
71.5201800,-156.5070653,0.167
71.5202075,-156.5071031,0.156
71.5202350,-156.5071410,0.153
71.5202625,-156.5071789,0.162
71.5202900,-156.5072169,0.181
71.5203176,-156.5072549,0.204
71.5203451,-156.5072929,0.225
71.5203727,-156.5073310,0.245
71.5204004,-156.5073691,0.272
71.5204280,-156.5074072,0.310
71.5204557,-156.5074453,0.351
71.5204834,-156.5074834,0.390
71.5205111,-156.5075215,0.433
71.5205388,-156.5075597,0.486
71.5205666,-156.5075978,0.550
71.5205944,-156.5076359,0.632
71.5206222,-156.5076739,0.736
71.5206500,-156.5077120,0.858
71.5206779,-156.5077500,0.995
71.5207057,-156.5077880,1.148
71.5207336,-156.5078260,1.305
71.5207615,-156.5078640,1.450
71.5207895,-156.5079019,1.566
71.5208174,-156.5079398,1.642
71.5208454,-156.5079777,1.683
71.5208734,-156.5080155,1.693
71.5209014,-156.5080533,1.663
71.5209295,-156.5080911,1.586
71.5209575,-156.5081289,1.491
71.5209856,-156.5081667,1.416
71.5210137,-156.5082044,1.356
71.5210418,-156.5082421,1.285
71.5210699,-156.5082797,1.197
71.5210981,-156.5083174,1.086
71.5211262,-156.5083550,0.952
71.5211544,-156.5083926,0.812
71.5211826,-156.5084302,0.689
71.5212108,-156.5084677,0.589
71.5212391,-156.5085052,0.513
71.5212673,-156.5085427,0.460
71.5212955,-156.5085802,0.431
71.5213238,-156.5086176,0.424
71.5213521,-156.5086551,0.438
71.5213804,-156.5086925,0.469
71.5214087,-156.5087298,0.515
71.5214370,-156.5087672,0.573
71.5214653,-156.5088045,0.639
71.5214936,-156.5088418,0.712
71.5215220,-156.5088791,0.787
71.5215503,-156.5089163,0.859
71.5215787,-156.5089536,0.918
71.5216071,-156.5089908,0.962
71.5216355,-156.5090280,0.996
71.5216639,-156.5090651,1.029
71.5216923,-156.5091023,1.065
71.5217207,-156.5091394,1.105
71.5217491,-156.5091765,1.154
71.5217775,-156.5092135,1.217
71.5218059,-156.5092506,1.283
71.5218344,-156.5092876,1.325
71.5218628,-156.5093246,1.327
71.5218913,-156.5093616,1.295
71.5219197,-156.5093986,1.251
71.5219482,-156.5094355,1.210
71.5219766,-156.5094724,1.162
71.5220051,-156.5095093,1.092
71.5220335,-156.5095462,1.009
71.5220620,-156.5095830,0.931
71.5220905,-156.5096198,0.858
71.5221189,-156.5096566,0.788
71.5221474,-156.5096934,0.729
71.5221759,-156.5097302,0.688
71.5222044,-156.5097669,0.664
71.5222328,-156.5098036,0.656
71.5222613,-156.5098404,0.660
71.5222898,-156.5098770,0.673
71.5223183,-156.5099137,0.691
71.5223468,-156.5099504,0.709
71.5223753,-156.5099870,0.712
71.5224038,-156.5100237,0.686
71.5224322,-156.5100603,0.637
71.5224607,-156.5100969,0.582
71.5224892,-156.5101335,0.535
71.5225177,-156.5101701,0.499
71.5225462,-156.5102067,0.474
71.5225748,-156.5102432,0.452
71.5226033,-156.5102798,0.430
71.5226318,-156.5103164,0.407
