latitude,longitude,SSMI x-location (km),SSMI y-location (km),thickness,,
77.132,-62.14,-412.5,"-1,337.5","9,999",,
77.197,-61.157,-387.5,"-1,337.5","9,999",,
77.259,-60.164,-362.5,"-1,337.5","9,999",,
77.316,-59.162,-337.5,"-1,337.5","9,999",,
77.37,-58.151,-312.5,"-1,337.5","9,999",,
77.42,-57.131,-287.5,"-1,337.5","9,999",,
77.466,-56.104,-262.5,"-1,337.5","9,999",,
77.508,-55.069,-237.5,"-1,337.5","9,999",,
77.546,-54.028,-212.5,"-1,337.5","9,999",,
77.58,-52.98,-187.5,"-1,337.5","9,999",,
77.609,-51.927,-162.5,"-1,337.5","9,999",,
77.635,-50.87,-137.5,"-1,337.5","9,999",,
77.656,-49.808,-112.5,"-1,337.5","9,999",,
77.673,-48.743,-87.5,"-1,337.5","9,999",,
77.686,-47.675,-62.5,"-1,337.5","9,999",,
77.694,-46.606,-37.5,"-1,337.5","9,999",,
77.698,-45.535,-12.5,"-1,337.5","9,999",,
77.698,-44.465,,12.5,"-1,337.5","9,999",
77.694,-43.394,,37.5,"-1,337.5","9,999",
77.686,-42.325,,62.5,"-1,337.5","9,999",
77.673,-41.257,,87.5,"-1,337.5","9,999",
77.656,-40.192,112.5,"-1,337.5","9,999",,
77.635,-39.13,137.5,"-1,337.5","9,999",,
77.609,-38.073,162.5,"-1,337.5","9,999",,
77.58,-37.02,187.5,"-1,337.5","9,999",,
77.546,-35.972,212.5,"-1,337.5","9,999",,
77.508,-34.931,237.5,"-1,337.5","9,999",,
77.466,-33.896,262.5,"-1,337.5","9,999",,
77.42,-32.869,287.5,"-1,337.5","9,999",,
77.37,-31.849,312.5,"-1,337.5","9,999",,
77.316,-30.838,337.5,"-1,337.5","9,999",,
77.259,-29.836,362.5,"-1,337.5","9,999",,
77.197,-28.843,387.5,"-1,337.5","9,999",,
77.132,-27.86,412.5,"-1,337.5","9,999",,
77.063,-26.887,437.5,"-1,337.5","9,999",,
76.99,-25.925,462.5,"-1,337.5","9,999",,
76.914,-24.974,487.5,"-1,337.5","9,999",,
76.834,-24.034,512.5,"-1,337.5","9,999",,
76.751,-23.106,537.5,"-1,337.5","9,999",,
76.664,-22.19,562.5,"-1,337.5","9,999",,
76.574,-21.286,587.5,"-1,337.5",-1,,
76.481,-20.395,612.5,"-1,337.5","9,999",,
76.385,-19.516,637.5,"-1,337.5","9,999",,
76.285,-18.65,662.5,"-1,337.5",-1,,
76.182,-17.796,687.5,"-1,337.5","9,999",,
76.077,-16.955,712.5,"-1,337.5",-1,,
75.969,-16.128,737.5,"-1,337.5",-1,,
75.857,-15.313,762.5,"-1,337.5",-1,,
75.743,-14.511,787.5,"-1,337.5",-1,,
75.627,-13.722,812.5,"-1,337.5",-1,,
75.507,-12.947,837.5,"-1,337.5",-1,,
75.385,-12.184,862.5,"-1,337.5",-1,,
75.261,-11.434,887.5,"-1,337.5",-1,,
75.134,-10.697,912.5,"-1,337.5",-1,,
75.005,-9.972,937.5,"-1,337.5",-1,,
74.874,-9.26,962.5,"-1,337.5",-1,,
74.74,-8.561,987.5,"-1,337.5",-1,,
74.604,-7.874,"1,012.5","-1,337.5",-1,,
74.466,-7.199,"1,037.5","-1,337.5",-1,,
74.326,-6.537,"1,062.5","-1,337.5",-1,,
74.184,-5.886,"1,087.5","-1,337.5",-1,,
74.04,-5.247,"1,112.5","-1,337.5",-1,,
73.895,-4.62,"1,137.5","-1,337.5",-1,,
73.747,-4.004,"1,162.5","-1,337.5",-1,,
73.598,-3.4,"1,187.5","-1,337.5",-1,,
65.998,-105.154,"-2,287.5","-1,312.5","9,999",,
66.19,-104.882,"-2,262.5","-1,312.5","9,999",,
66.381,-104.604,"-2,237.5","-1,312.5","9,999",,
66.572,-104.323,"-2,212.5","-1,312.5","9,999",,
66.762,-104.036,"-2,187.5","-1,312.5","9,999",,
66.952,-103.745,"-2,162.5","-1,312.5","9,999",,
67.142,-103.449,"-2,137.5","-1,312.5","9,999",,
67.331,-103.147,"-2,112.5","-1,312.5","9,999",,
67.519,-102.841,"-2,087.5","-1,312.5","9,999",,
67.707,-102.529,"-2,062.5","-1,312.5","9,999",,
67.894,-102.212,"-2,037.5","-1,312.5","9,999",,
68.081,-101.889,"-2,012.5","-1,312.5",-1,,
68.268,-101.56,"-1,987.5","-1,312.5",-1,,
68.453,-101.226,"-1,962.5","-1,312.5",-1,,
68.638,-100.886,"-1,937.5","-1,312.5",-1,,
68.823,-100.539,"-1,912.5","-1,312.5",-1,,
69.006,-100.187,"-1,887.5","-1,312.5",-1,,
69.19,-99.828,"-1,862.5","-1,312.5",-1,,
69.372,-99.462,"-1,837.5","-1,312.5",-1,,
69.554,-99.09,"-1,812.5","-1,312.5",-1,,
69.734,-98.711,"-1,787.5","-1,312.5","9,999",,
69.915,-98.326,"-1,762.5","-1,312.5","9,999",,
70.094,-97.933,"-1,737.5","-1,312.5",-1,,
70.272,-97.533,"-1,712.5","-1,312.5",-1,,
70.45,-97.125,"-1,687.5","-1,312.5",-1,,
70.626,-96.71,"-1,662.5","-1,312.5",-1,,
70.802,-96.287,"-1,637.5","-1,312.5","9,999",,
70.977,-95.856,"-1,612.5","-1,312.5","9,999",,
71.151,-95.417,"-1,587.5","-1,312.5","9,999",,
71.323,-94.97,"-1,562.5","-1,312.5","9,999",,
71.495,-94.514,"-1,537.5","-1,312.5","9,999",,
71.666,-94.05,"-1,512.5","-1,312.5","9,999",,
71.835,-93.576,"-1,487.5","-1,312.5",-1,,
72.004,-93.094,"-1,462.5","-1,312.5",-1,,
72.171,-92.603,"-1,437.5","-1,312.5",-1,,
72.337,-92.102,"-1,412.5","-1,312.5",-1,,
72.501,-91.591,"-1,387.5","-1,312.5",-1,,
72.664,-91.071,"-1,362.5","-1,312.5",-1,,
72.826,-90.541,"-1,337.5","-1,312.5",-1,,
72.987,-90,"-1,312.5","-1,312.5",-1,,
73.146,-89.449,"-1,287.5","-1,312.5","9,999",,
73.303,-88.888,"-1,262.5","-1,312.5","9,999",,
73.459,-88.315,"-1,237.5","-1,312.5","9,999",,
73.614,-87.732,"-1,212.5","-1,312.5","9,999",,
73.766,-87.138,"-1,187.5","-1,312.5","9,999",,
73.917,-86.532,"-1,162.5","-1,312.5","9,999",,
74.067,-85.914,"-1,137.5","-1,312.5",-1,,
74.214,-85.285,"-1,112.5","-1,312.5",-1,,
74.36,-84.644,"-1,087.5","-1,312.5",-1,,
74.503,-83.991,"-1,062.5","-1,312.5",-1,,
74.645,-83.326,"-1,037.5","-1,312.5",-1,,
74.785,-82.648,"-1,012.5","-1,312.5","9,999",,
74.922,-81.957,-987.5,"-1,312.5","9,999",,
75.057,-81.254,-962.5,"-1,312.5","9,999",,
75.191,-80.538,-937.5,"-1,312.5","9,999",,
75.321,-79.808,-912.5,"-1,312.5",-1,,
75.45,-79.066,-887.5,"-1,312.5",-1,,
75.576,-78.311,-862.5,"-1,312.5",-1,,
75.699,-77.542,-837.5,"-1,312.5",-1,,
75.82,-76.759,-812.5,"-1,312.5",-1,,
75.939,-75.964,-787.5,"-1,312.5",-1,,
76.054,-75.155,-762.5,"-1,312.5",-1,,
76.167,-74.332,-737.5,"-1,312.5",-1,,
76.277,-73.496,-712.5,"-1,312.5",-1,,
76.385,-72.646,-687.5,"-1,312.5",-1,,
76.489,-71.783,-662.5,"-1,312.5",-1,,
